solver,hc_simple,hc_gaussian_1,hc_gaussian_2,hc_simple_cc,sage
graph0434.hcp,42.595,45.661,32.722,93.777,*
graph0437.hcp,.944,1.032,.998,312.670,*
graph0438.hcp,16.375,22.823,16.822,95.342,*
graph0439.hcp,.825,.902,.879,316.055,*
graph0441.hcp,11.012,11.751,9.317,*,*
graph0442.hcp,6.180,6.517,5.560,*,*
graph0443.hcp,.929,1.027,.997,381.518,*
graph0444.hcp,2.107,2.238,2.076,81.951,*
graph0445.hcp,46.872,53.569,37.568,91.167,*
graph0447.hcp,10.306,10.743,8.388,*,*
graph0449.hcp,1.063,1.043,1.049,4.049,7.730
graph0450.hcp,15.356,19.979,12.517,92.947,*
graph0453.hcp,.817,.904,.875,386.341,*
graph0454.hcp,28.234,35.522,35.862,86.618,117.850
graph0455.hcp,13.542,14.018,8.608,105.727,*
graph0457.hcp,2.669,2.728,2.458,97.589,*
graph0458.hcp,64.144,74.640,52.849,98.442,*
graph0459.hcp,7.959,8.264,6.315,*,*
graph0460.hcp,3.449,3.413,2.957,110.558,*
graph0461.hcp,46.588,56.870,41.064,96.002,*
graph0462.hcp,.520,.526,.525,3.843,*
graph0463.hcp,1.083,1.184,1.156,350.073,*
graph0464.hcp,5.586,6.478,4.382,123.521,*
graph0465.hcp,31.635,40.965,28.045,129.592,*
graph0466.hcp,1.016,1.085,1.026,435.571,*
graph0467.hcp,.954,1.043,1.004,389.688,*
graph0468.hcp,8.619,10.084,6.491,130.621,*
graph0469.hcp,1.175,1.179,1.172,4.430,*
graph0471.hcp,8.221,8.798,6.778,*,*
graph0472.hcp,29.383,34.687,24.544,102.283,*
graph0474.hcp,8.920,11.395,11.426,123.251,*
graph0475.hcp,1.011,1.094,1.049,424.661,*
graph0477.hcp,18.845,25.906,26.237,114.430,97.230
graph0478.hcp,54.516,64.504,48.370,121.527,*
graph0481.hcp,3.473,3.311,3.133,125.206,*
graph0482.hcp,3.659,3.677,3.170,122.793,*
